Protein,CRC01-N,CRC01-T,CRC02-N_fixed
NLRP14,105.0,118.0,137.0
NLRP2,123.0,115.0,134.0
NLRP2B,5.0,5.0,7.0
NLRP3,124.0,119.0,141.0
NLRP4,102.0,112.0,161.0
NLRP5,104.0,112.0,159.0
NLRP6,100.0,90.0,128.0
NLRP7,147.0,140.0,178.0
NLRP8,114.0,114.0,149.0
NLRP9,109.0,112.0,152.0
NLRX1,84.0,80.0,106.0
NMB,23.0,19.0,26.0
NMBR,17.0,25.0,30.0
NMD3,45.0,57.0,82.0
NME1,26.0,31.0,32.0
NME2,10.0,11.0,14.0
NME3,20.0,20.0,30.0
NME4,31.0,25.0,29.0
NME5,22.0,25.0,38.0
NME6,21.0,19.0,30.0
NME7,43.0,47.0,63.0
NME8,73.0,79.0,95.0
NME9,43.0,48.0,72.0
NMI,57.0,48.0,75.0
NMNAT1,46.0,43.0,54.0
NMNAT2,32.0,30.0,43.0
NMNAT3,33.0,34.0,45.0
NMRAL1,37.0,38.0,52.0
NMRK1,25.0,23.0,32.0
NMRK2,22.0,24.0,32.0
NMS,13.0,14.0,21.0
NMT1,55.0,53.0,69.0
NMT2,49.0,53.0,72.0
NMU,6.0,5.0,11.0
NMUR1,25.0,27.0,32.0
NMUR2,15.0,22.0,30.0
NNAT,11.0,8.0,11.0
NNMT,28.0,26.0,36.0
NNT,80.0,81.0,131.0
NOA1,63.0,78.0,102.0
NOB1,35.0,51.0,56.0
NOBOX,51.0,46.0,69.0
NOC2L,81.0,82.0,98.0
NOC3L,54.0,56.0,65.0
NOC4L,51.0,48.0,61.0
NOCT,72.0,64.0,79.0
NOD1,80.0,82.0,105.0
NOD2,86.0,90.0,128.0
NODAL,12.0,16.0,35.0
NOG,18.0,14.0,24.0
NOL10,85.0,95.0,115.0
NOL11,67.0,71.0,110.0
NOL12,9.0,7.0,20.0
NOL3,24.0,22.0,25.0
NOL4,86.0,85.0,92.0
NOL4L,31.0,28.0,37.0
NOL6,102.0,115.0,146.0
NOL7,22.0,24.0,36.0
NOL8,129.0,150.0,180.0
NOL9,36.0,37.0,50.0
NOLC1,69.0,66.0,81.0
NOM1,93.0,91.0,138.0
NOMO1,7.0,11.0,19.0
NOMO2,1.0,2.0,1.0
NOMO3,99.0,99.0,139.0
NONO,33.0,35.0,49.0
NOP10,11.0,13.0,15.0
NOP14,111.0,108.0,131.0
NOP16,14.0,15.0,21.0
