Protein,CRC01-N,CRC01-T,CRC02-N,CRC02-T,CRC03-N,CRC03-T,CRC04-N,CRC04-T,CRC05-N,CRC05-T,CRC06-N,CRC06-T,CRC07-N,CRC07-T,CRC08-N,CRC08-T,CRC09-N,CRC09-T,CRC10-N,CRC10-T,CRC11-N,CRC11-T,CRC12-N,CRC12-T,CRC13-N,CRC13-T,CRC14-N,CRC14-T,CRC15-N,CRC15-T,CRC16-N,CRC16-T
ACTN2,24107151.719551027,27970486.618652068,23335495.52768501,39179899.22834388,32530021.7028535,85347460.18402152,14563683.286301212,30855890.115216974,11375887.978517622,49856656.70879375,37708118.45730489,49789996.00498864,30976725.89198933,23488515.700456697,24137264.960733205,16537791.253767008,8428459.555244768,46040178.78533317,4332353.652062137,34474414.20572999,6693094.13317703,42580333.08087495,10349937.480612332,52557844.00576013,4459883.31789381,24098941.66898603,22316738.790093467,33258373.585980933,17569288.05851317,49193368.31675419,23830927.691329543,23944321.891109973
ACTN4,1711199483.376487,2495364476.3164234,2034846722.1186643,2503280494.010705,4499462637.125953,5185658255.974806,1933677329.5621684,2805155811.571575,3699442412.5210915,6911693096.523293,2834165137.9944873,5014146130.291898,3702852030.4198985,2514652607.3138156,3487023610.5542736,1827489694.5600305,2642595406.776877,3705677954.678725,2281953489.6004763,3949976839.526202,2047291756.2484617,2217944798.768248,3164883325.7413044,3764866709.25922,2694881486.1619964,2399489646.510513,4223491041.1179233,4571579867.084905,2644662316.799459,5645264974.697949,4739189524.167479,3688522984.900995
ACTR1A,18086201.437473014,43874797.58777527,35307433.7654449,37022130.89317515,49447282.04467272,50570807.36839744,42143071.95228029,27393856.400252823,47351551.90305321,107005121.72944446,38353549.802884705,56899207.945986934,63564823.37035703,24602410.561955288,32163961.164139394,19559638.16262939,30878996.027678717,24077602.890943795,31514684.582799047,39973479.84927875,19599487.749096908,27138359.616974812,55066841.04772528,45184635.98213864,21122540.25052017,37346092.78814577,58294737.96778526,77647732.51917137,49718487.17106198,99397042.1229185,53203091.14826996,37755914.339531966
ACTR1B,26777664.397111133,53652964.14421599,37080978.70733295,41903517.37091101,42358291.38869841,52696292.17986969,55147998.51125174,33939369.170432754,41215257.49564971,50944879.19763746,30122631.12734329,14250588.801888471,76307999.87099157,56198354.59188995,26827289.257762093,17840587.776534505,44049892.595416255,24809630.295612007,21681045.563015856,62685358.25836653,35131184.80462579,46525451.26390783,2065756.621419819,8571900.50669743,12260650.918714993,49730863.44618632,36759547.05571101,91610477.20541584,75881349.33120865,97068490.40973768,66581985.73101739,53409186.86305013
ACTR2,229044566.06143582,422205419.80328095,218276480.31042308,291399410.4641149,146167737.4045533,438162056.7769508,244088707.3584363,286485935.8104652,153366149.72814524,256612326.1141997,95130478.48928258,153307909.33169645,338330341.50429165,228952308.66840512,78120888.10268418,223696002.69005504,117810350.41344896,274913246.33441985,89151807.78378269,331024783.6553765,94819319.46825846,274255750.48520285,83341938.3933372,363995852.4603411,107123368.19223295,357778328.656586,79818571.44598073,288074920.89997125,103784615.63504216,285515651.0956052,177591731.56715453,476772483.4901377
ACTR3,289711503.96633494,418963351.1643424,200617142.40629143,312992108.1968313,252359633.48737863,460041290.51028895,266265413.0430001,306137721.7667156,209917904.78210014,396220400.9645039,237619287.41749278,371556999.45911586,456838621.4917748,319483122.37255365,134977470.84938872,227608344.0250276,180264232.36850643,347619112.8439126,160110075.02796984,493094964.94434047,127961584.9607573,308027163.38042474,165748942.59128475,460004020.68067193,117056019.38869746,409945785.1217133,200742683.49974972,430613431.68343925,259858276.99278837,307862932.29453194,241046535.83608854,452455402.40695345
ACY1,1845646.8240099205,2390233.3488428905,,,,,,,1395387.651665755,43473768.416277446,4220284.753414834,6406836.328373086,,,,,,,,,,,2246868.8058779812,8240454.392105329,,2008271.060596718,554846.746910645,4634466.543043389,4976559.276716292,20236407.233320583,,
ADAR,7383178.927861457,9888340.19104918,7895275.994573422,25752339.625782646,3725233.4968407727,19020824.91121471,8586667.894722754,17424189.005919617,2011996.222487345,32130491.93653083,10844338.909370491,21130193.07110516,9734204.773614252,9742963.59533796,1544951.4568637572,13131753.375475803,2329948.6408766434,11691909.412449488,2529413.295343681,17899778.185264498,3796739.906139909,21929054.06428813,1987465.4124507108,35296500.12136389,882097.7905123738,4745909.3424692415,440025.9904152278,37543792.692825586,5246061.854849752,22250412.981852368,3483823.4395829085,26097956.628607426
ADD1,33126528.545213003,13643340.06224756,25444815.87896977,20749771.66672282,20538155.757272333,27984711.146600127,39333090.701608285,19098207.392367188,29228230.31568891,19600989.74095203,35078096.406493604,40731734.78490531,30619670.295994084,25608948.636373915,14834446.39688523,5638641.899179572,30521143.005329225,18453786.018179588,21034256.669409618,20480908.49471558,24710895.370403685,17043478.202905294,18321256.087098856,44552380.87289904,12230764.571988592,25417418.85068086,15731043.453430053,41120775.914181344,39110533.95383367,32076690.73715374,16271003.150380459,25337743.2781353
ADD3,33429531.835389093,15183865.515699416,25384467.536370553,35599645.24641297,34801540.87580258,27814788.45703141,41191551.78420419,25991015.247334685,53695355.15185666,37472142.61279435,70800309.75955558,43750814.458822876,53562037.566012606,29457853.473713435,75552013.18060467,12902251.60232967,77061345.2662564,22425639.51447833,26350188.93384632,46156851.889168024,30085971.19356984,14260170.406963414,41389645.52245161,86001641.11845933,50142384.87568474,22677707.64470267,61596182.39343719,53801197.25842613,30850524.342497278,61718576.92536815,60278805.0188225,38586834.227272175
ADH1B,544720545.4395463,65251920.79466681,329440684.89824253,168043591.4267529,574958321.1715784,49518757.52927663,678258630.0694661,25213220.83931866,553481824.576999,27435159.351114403,648185713.4460379,178665914.72599858,1357244571.53671,280614740.63116413,294198990.36200535,9082855.36004714,438264850.0011988,25253647.471703835,478314424.7515487,261979935.02160665,653326502.1762612,44707791.5060216,482485185.9869987,16225833.471488949,265972827.78217018,103400128.79252015,346109375.9556659,344007331.7934875,1123739821.6316671,71532599.50167449,440754858.0002845,224383734.42765224
ADH1C,334775415.0216782,30337521.892848805,326401605.65124154,313633320.03217316,161526136.00630733,24735341.903445736,296426071.6993253,43618469.033227414,106736177.24391808,110910129.7257207,378486145.5885819,381210696.6214947,287648808.4395877,276311343.9562504,64496124.467691705,6400378.407021577,127931945.63559954,13093385.39656746,187620917.6062933,387948295.12711585,162913232.84405318,12005757.826594941,87491440.52568108,24536841.967665195,51300305.954888016,193008919.26365066,139689058.38804463,226280943.29471388,310293812.6104845,297927158.2499819,103009171.16656008,255568666.90254617
ADH5,37110160.912890576,43933825.05552522,129835267.81212232,89062001.2490661,103797848.30305414,46934525.40318236,29938488.177170824,84704004.32229728,390392197.2607547,154737933.91699404,62235493.75101112,217680260.62469697,183715270.55439183,26663059.713196024,258589044.2675611,67387983.37676932,26549626.325114727,43882178.47780147,115306050.96916248,45761134.93685899,251713084.7457883,36370419.46460692,277619172.02151644,184641526.63449356,36730634.67065121,122496272.63744676,213613169.76924863,204249172.59076953,327640972.3677405,52381298.60577676,276432686.0402282,29484745.43967202
