Protein,CRC01-N,CRC01-T
ADAMTS13,103.0,129.0
ADAMTS14,89.0,109.0
ADAMTS15,111.0,123.0
ADAMTS16,121.0,143.0
ADAMTS17,114.0,117.0
ADAMTS18,107.0,102.0
ADAMTS19,111.0,118.0
ADAMTS2,111.0,134.0
ADAMTS20,169.0,175.0
ADAMTS3,142.0,135.0
ADAMTS4,65.0,66.0
ADAMTS5,135.0,129.0
ADAMTS6,104.0,96.0
ADAMTS7,128.0,131.0
ADAMTS8,77.0,84.0
ADAMTS9,208.0,209.0
ADAMTSL1,147.0,145.0
ADAMTSL2,88.0,84.0
ADAMTSL3,175.0,173.0
ADAMTSL4,112.0,114.0
ADAMTSL4-AS1,8.0,9.0
ADAMTSL5,37.0,34.0
ADAP1,64.0,58.0
ADAP2,39.0,48.0
ADAR,147.0,144.0
ADARB1,62.0,71.0
ADARB2,64.0,67.0
ADARB2-AS1,7.0,10.0
ADAT1,76.0,79.0
ADAT2,18.0,16.0
ADAT3,31.0,36.0
ADCK1,55.0,63.0
ADCK2,88.0,79.0
ADCK5,74.0,81.0
ADCY1,64.0,78.0
ADCY10,162.0,175.0
ADCY2,92.0,97.0
ADCY3,69.0,80.0
ADCY4,77.0,76.0
ADCY5,76.0,69.0
ADCY6,73.0,72.0
ADCY7,81.0,82.0
ADCY8,90.0,95.0
ADCY9,138.0,133.0
ADCYAP1,12.0,14.0
ADCYAP1R1,28.0,26.0
ADD1,60.0,57.0
ADD2,77.0,83.0
ADD3,61.0,61.0
ADGB,198.0,208.0
ADGRA1,32.0,26.0
ADGRA2,63.0,83.0
ADGRA3,97.0,113.0
ADGRB1,106.0,115.0
ADGRB2,100.0,128.0
ADGRB3,109.0,112.0
ADGRD1,34.0,36.0
ADGRD2,53.0,59.0
ADGRE1,60.0,56.0
ADGRE2,26.0,24.0
ADGRE3,61.0,65.0
ADGRE4P,37.0,40.0
ADGRE5,45.0,43.0
ADGRF1,42.0,46.0
ADGRF2P,68.0,72.0
ADGRF3,27.0,25.0
ADGRF4,56.0,57.0
ADGRF5,72.0,78.0
ADGRG1,27.0,32.0
ADGRG2,40.0,37.0
ADGRG3,25.0,28.0
ADGRG4,136.0,142.0
ADGRG5,25.0,24.0
ADGRG6,85.0,79.0
ADGRG7,57.0,59.0
ADGRL1,114.0,111.0
ADGRL2,119.0,131.0
ADGRL3,102.0,102.0
ADGRL4,42.0,49.0
ADGRV1,319.0,344.0
ADH1A,13.0,15.0
ADH1B,52.0,44.0
ADH1C,10.0,10.0
ADH4,49.0,51.0
ADH5,26.0,33.0
ADH6,33.0,32.0
ADH7,39.0,39.0
ADHFE1,25.0,27.0
ADI1,36.0,38.0
ADIG,3.0,4.0
ADIPOQ,31.0,25.0
ADIPOR1,16.0,18.0
ADIPOR2,11.0,13.0
ADIRF,8.0,3.0
ADISSP,9.0,10.0
ADK,24.0,27.0
ADM,38.0,41.0
ADM2,15.0,17.0
ADM5,9.0,9.0
ADNP,139.0,135.0
ADNP2,81.0,88.0
ADO,23.0,19.0
ADORA1,5.0,6.0
ADORA2A,12.0,12.0
ADORA2A-AS1,18.0,22.0
ADORA2B,12.0,13.0
ADORA3,3.0,3.0
ADPGK,27.0,29.0
ADPRH,65.0,57.0
ADPRHL1,46.0,49.0
ADPRM,13.0,16.0
ADPRS,31.0,38.0
ADRA1A,12.0,15.0
ADRA1B,39.0,44.0
ADRA1D,11.0,15.0
ADRA2A,18.0,14.0
ADRA2B,14.0,15.0
ADRA2C,4.0,5.0
ADRB1,11.0,9.0
ADRB2,19.0,13.0
ADRB3,10.0,12.0
ADRM1,26.0,25.0
ADSL,47.0,49.0
ADSS1,56.0,50.0
ADSS2,43.0,41.0
ADTRP,9.0,10.0
AEBP1,57.0,61.0
AEBP2,55.0,54.0
AEN,43.0,42.0
AFAP1,76.0,73.0
AFAP1L1,77.0,80.0
AFAP1L2,74.0,80.0
AFDN,160.0,160.0
AFF1,123.0,132.0
AFF2,94.0,100.0
AFF3,121.0,124.0
AFF4,131.0,126.0
AFG1L,58.0,58.0
AFG2A,119.0,113.0
AFG2B,104.0,98.0
AFG3L2,96.0,105.0
AFM,95.0,94.0
AFMID,29.0,27.0
AFP,77.0,76.0
AFTPH,66.0,66.0
AGA,20.0,21.0
AGAP1,49.0,50.0
AGAP11,22.0,26.0
AGAP2,74.0,67.0
AGAP3,52.0,61.0
AGAP4,10.0,12.0
AGAP5,49.0,42.0
AGAP6,4.0,7.0
AGAP7P,18.0,17.0
AGAP9,28.0,27.0
AGBL1,114.0,109.0
AGBL2,121.0,118.0
AGBL3,141.0,135.0
AGBL4,50.0,59.0
AGBL5,86.0,92.0
AGER,14.0,18.0
AGFG1,35.0,33.0
AGFG2,26.0,25.0
AGGF1,66.0,77.0
AGK,47.0,48.0
AGL,202.0,211.0
AGMAT,40.0,45.0
AGMO,27.0,31.0
AGO1,68.0,71.0
AGO2,104.0,108.0
AGO3,91.0,99.0
AGO4,78.0,75.0
AGPAT1,10.0,10.0
AGPAT2,15.0,22.0
AGPAT3,44.0,47.0
AGPAT4,25.0,24.0
AGPAT4-IT1,4.0,10.0
AGPAT5,19.0,22.0
AGPS,73.0,72.0
AGR2,13.0,10.0
AGR3,28.0,21.0
AGRN,142.0,140.0
AGRP,9.0,8.0
AGT,37.0,43.0
AGTPBP1,127.0,129.0
AGTR1,34.0,31.0
AGTR2,16.0,16.0
AGTRAP,14.0,14.0
AGXT,40.0,38.0
AGXT2,72.0,67.0
AHCTF1,176.0,214.0
AHCY,50.0,53.0
