Protein,CRC01-N,CRC01-T,CRC02-N,CRC02-T,CRC03-N,CRC03-T,CRC04-N,CRC04-T,CRC05-N,CRC05-T,CRC06-N,CRC06-T,CRC07-N,CRC07-T,CRC08-N,CRC08-T,CRC09-N,CRC09-T,CRC10-N,CRC10-T,CRC11-N,CRC11-T,CRC12-N,CRC12-T,CRC13-N,CRC13-T,CRC14-N,CRC14-T,CRC15-N,CRC15-T,CRC16-N,CRC16-T
ACTA2,28.975120476585555,29.80853200454081,29.091181843553038,29.48686283364808,31.25354442226403,28.37394411778407,29.457232058491318,27.672379950478977,32.004106840203555,29.03171893227605,31.641254143447714,30.143561595994637,29.22988036639748,28.91579794048174,32.16809497805739,28.877099803924192,30.837146181213445,30.303684711161434,30.999288146899296,28.825461742340888,31.500832923470128,26.752738821752352,32.64059607160762,29.036414794151224,31.606129914934822,28.31990224035783,32.2802847381289,30.599523102196134,31.815841698520924,29.817501105482055,31.159394355011468,29.60239581742126
ACTB,33.582173879631235,34.1010236699653,33.14623951045129,33.270251626153915,34.67502018255537,34.23451273956499,33.46838029467084,33.26677796057462,33.859732736377914,33.94460086478444,33.53661922736224,33.44727558006867,34.05870849366623,33.514611966321105,34.3875986990015,33.84184310189066,34.19153626414251,33.961554104072285,33.90093972589548,33.32393224095451,34.328171133410834,33.35833613126668,34.063118655398895,33.41891763899367,33.84064707331073,33.53370184543559,34.425909191605776,33.5034024380565,34.01506951071165,33.75850236043899,34.595186935277276,33.85928991022361
ACTL6A,22.659979570906867,24.103835444525274,22.685791124596296,22.30062614302561,21.066209962521363,23.858110717886536,21.662851657391705,23.03723328517516,24.35779056217868,23.249613125051898,24.529345084826463,23.659399618455307,23.30426707793348,23.20858756511814,21.803558917466486,21.557890101017726,21.688418788147864,22.765854419156465,21.00763812025857,23.356899189856886,22.255779177295917,20.82330681096552,20.885731798734238,24.01121837173594,20.599668182295428,23.108060376211437,23.592338200020396,24.961013477296163,22.68884290635567,24.223177350085848,22.19842557647215,24.0512588822005
ACTN1,28.097997048502318,29.58261606125801,28.023203246485263,28.579368252255108,31.70024747472737,28.99775726215702,28.51096745677518,28.622455285342234,31.452586463994493,29.035961339659238,31.060143290409073,29.98244075736944,29.181743682826383,28.99045278739899,31.23140569395477,29.787004768917434,30.996243967136735,30.71770131210383,30.930765132085373,29.41674551826502,30.423631696771118,27.642945623371464,31.418583645351134,29.263024412895273,31.235562026100055,28.659806653759972,32.06865341951579,30.18854756963883,30.016338885437747,29.890647785057553,31.939978998574237,29.14050807350315
ACTN2,24.522957869576615,24.73740201763984,24.47602276737146,25.223610351174987,24.955268449104835,26.346844885602373,23.795871936428295,24.879042577537614,23.439475827738534,25.57128280593862,25.168371829540288,25.56935256385765,24.884681329675026,24.485452212842663,24.524758875054555,23.979263228828277,23.006837547456325,25.45639010003209,22.046719584950758,25.039022701674693,22.674241874156696,25.343683899399746,23.30311871728078,25.64740275977295,22.08857453532222,24.52246645454928,24.41162288156164,24.987214283323443,24.066552395952673,25.55196050535751,24.506331778124533,24.51318024289735
ACTN4,30.672360806041844,31.21660340693187,30.922272979402763,31.22117280887419,32.06710556719633,32.27187998716245,30.848699928078,31.385433761126425,31.784660695184552,32.68639201217717,31.400276676047667,32.223356896104534,31.785989753146172,31.227711963232778,31.6993489865879,30.767216124651494,31.299308412784058,31.787090362071307,31.08762224114022,31.8791970481371,30.931069567143577,31.046576313474013,31.559505169286936,31.80995164284237,31.32757468240526,31.160080442010084,31.97578884476791,32.09004567846517,31.30043637784547,32.394394153091,32.14199321069622,31.78039607977273
ACTR1A,24.108386101315677,25.386889133907108,25.073468630355517,25.14188459941307,25.559387887148656,25.591801475642626,25.328792145162886,24.707349041532318,25.496908373667587,26.6731046110228,25.192856776385927,25.761905234136186,25.92172526637551,24.552296343003654,24.938941757293815,24.221376346065657,24.88012251107157,24.52118843216081,24.909520887689048,25.252539834737473,24.2243126128635,24.693830183642653,25.714680513748117,25.42932896427667,24.332280011523892,25.154453977908048,25.79686232721881,26.210440459640463,25.56727906309567,26.56669958462998,25.66500673427492,25.170199319774472
ACTR1B,24.67452679553653,25.67715454140082,25.144175986858418,25.320568012684813,25.336141060558628,25.65119811863755,25.716805191183415,25.016456414031826,25.29667517245758,25.60243380319424,24.844344455090702,23.76451819359526,26.185330976437882,25.744024555211627,24.67719795019433,24.088659811326398,25.39263516571252,24.56439690106779,24.369930996189552,25.901625168884422,25.066248896705048,25.471516807683383,20.978238861400495,23.031183674200133,23.54753223804234,25.567638144190276,25.13161565432854,26.449009268515322,26.177241997364394,26.53249971982473,25.988628562048845,25.670584584060848
ACTR2,27.77105309532652,28.653369857616106,27.701581444775503,28.118422717759533,27.123049669412048,28.70688931675012,27.86283031019976,28.093889074923887,27.19240485205495,27.935015229591702,26.50340429889057,27.19185688831518,28.3338573230913,27.77047187177433,26.21920501453782,27.736964235653463,26.811891054075218,28.034401181994017,26.40976071673657,28.302363994011102,26.498677702885505,28.030946629898775,26.312539319302797,28.439346770871804,26.674697987064174,28.41449076223341,26.250221122636738,28.101868827551794,26.629017362794993,28.088994590988683,27.4039891724043,28.828725733410163
ACTR3,28.11004173188693,28.6422488087373,27.579869646244866,28.22155104050973,27.910905919716583,28.77718811361865,27.988289798717574,28.189605581333307,27.64524998451262,28.561727924062758,27.824076702696473,28.469008306414935,28.767109381514462,28.25116447771227,27.00814338558811,27.76197820629908,27.42553792789579,28.37293216589758,27.25448885230948,28.877290280469836,26.931135526318634,28.198482339714737,27.30442442567703,28.777071230248367,26.80262388337314,28.610857886615527,27.580772165665977,28.68181807981368,27.953149771486558,28.197712931729587,27.84473645550799,28.753200354836874
ADAR,22.815810691299408,23.237296946819807,22.912558268474005,24.618200172747464,21.828899425550443,24.181076479784974,23.033666963275632,24.054588172852366,20.940196165817568,24.937439733690653,23.37043877058794,24.33280261375857,23.214631693516345,23.21592924450294,20.559130077976704,23.646556224556488,21.151866723186902,23.479007220678525,21.270371355802194,24.093438373879746,21.856329740529134,24.386340245206444,20.922498322943795,25.07302180215906,19.750579078141033,22.17825311140276,18.747229214404403,25.162071063521104,22.32280338744154,24.407328777878934,21.732240079227445,24.63743351785808
ADD1,24.98148369005686,23.701693541810748,24.600868416090282,24.30659212514825,24.29180330354569,24.73813552077061,25.229240218524193,24.186933893702328,24.800859145012367,24.22442316846591,25.06406712295691,25.279649924962932,24.867955412598054,24.61014468918031,23.822447752447243,22.426916292008993,24.863305655782487,24.13741349726193,24.32623749975085,24.287776376216964,24.558643950193428,24.022716452475816,24.127015080774527,25.408999195436696,23.54401125693528,24.599314195719106,23.907111033322487,25.293364151432538,25.22105389671015,24.93502197485218,23.955799863929116,24.594784699880993
ADD3,24.994619815054023,23.85603578371344,24.597442662679928,25.08535952889223,25.052647848580513,24.729348797552397,25.29584514121173,24.631509652915383,25.67829395932709,25.159315135833126,26.07725233649152,25.38280653840834,25.67470750781753,24.812148972533237,26.17096686257952,23.621119519942063,26.19950403567508,24.41864579143906,24.65130997039835,25.46004149307434,24.84258759281018,23.765487886092366,25.302766557012863,26.357860854385255,25.57952727957964,24.43477147835566,25.876337602587412,25.68113494219,24.878791674166198,25.8792014615968,25.845147481105684,25.20160535017506
ADH1B,29.020941042001052,25.959517034555418,28.295443493508657,27.32426028363629,29.098882137732552,25.561471780685388,29.33726025837598,24.587677089909235,29.043960701176797,24.709522619621833,29.271831981902608,27.412689187288276,30.338033567632255,28.064015554503307,28.132217054630367,23.114714475453354,28.707227734647592,24.589988440563197,28.83338405910747,27.964881079436655,29.283228922919943,25.41402294500586,28.845909406285443,23.95178925117557,27.986703624275457,26.62366274173641,28.36665278312617,28.35786407236751,30.065660902452997,26.09209753436884,28.715401230117514,27.74139285790177
ADH1C,28.318618343353247,24.85459990869855,28.282072913403976,28.224503596905347,27.267192380587506,24.560070505450405,28.143097102347088,25.378435797855214,26.66947400634157,26.724815895903024,28.4956652507063,28.50601336036741,28.09973325309349,28.041719552278877,25.94270913669743,22.60972577284226,26.93080132085817,23.64233482974332,27.483245440068217,28.531289145185625,27.279528552545678,23.517223136348267,26.382638546125836,24.548446242031734,25.612464094298904,27.524092277473663,27.057643780365147,27.753539849351654,28.20905968830466,28.1503844009364,26.618197549007338,27.929135729674712
ADH5,25.145310920911914,25.388828775943686,26.952107082239763,26.40830669413366,26.629201296487487,25.4841462352099,24.835498034760583,26.335926837775695,28.540348977251465,27.20525167511807,25.891234267941396,27.697635348113227,27.45289630845214,24.668339010271115,27.94608591237669,26.00598801721574,24.662188220054613,25.38713181258499,26.780892983052528,25.447619497522627,27.907204972845324,25.116262228883773,28.048531961111912,27.46015181659023,25.130480488903224,26.86816261012851,27.67042535450955,27.60575499315352,28.28754054017925,25.64254849077463,28.04235297251001,24.81346540273263
ADRM1,23.13752439247463,23.346525389610292,23.256127834250503,23.31104833940811,19.37811864165234,25.542698709172313,22.175678356655492,24.317923438929444,21.7766750564104,23.760527330096824,20.822337902687796,24.952167165852295,22.039257369525302,22.08977932852096,21.529656119293563,23.02625840275511,22.43319309737186,23.890537089370422,19.339849344896972,24.227198133900483,21.3006924845957,22.82189217745195,20.170749556943772,25.785139503482377,19.952091773922064,24.09200354564897,22.291090147813247,24.53359633071264,19.789913219957974,25.14934348145157,21.612506851138487,24.651324529053774
AFG3L2,24.306853198408756,22.123333927758548,23.480027094094655,24.19279977074247,23.147402505549262,24.392797922705633,23.23345294644722,22.74332418538816,23.962951758811567,23.97152461112858,21.33000996761975,24.36148611779885,24.064011657412987,23.48217314090397,21.35532558854645,22.237099647572858,23.08783555050241,23.142489305510114,22.81559720459206,23.1008003684554,22.807565095268725,20.97323019326636,22.853325743558823,24.76865826998748,22.245005382396375,23.478564928198043,23.47311121931412,24.421405840261826,24.158535748807093,24.746898249131224,22.087854766989988,23.747986701208852
