Protein,Mean_Normal,Mean_Tumor,Log2FC,T_statistic,P_value,Neg_log10_P,Significant
SLC12A2,25.429183525957022,27.38910199543176,1.9599184694747365,5.202080966877723,1.3891347467300019e-05,4.857255625448143,Up
SLC12A5,19.770348408675314,21.080338726066575,1.3099903173912608,3.894578686977517,0.0005111560018551688,3.291446535471458,Up
SLC16A1,22.87745066823783,23.617593020173032,0.7401423519352015,1.214168219837654,0.23545792400475704,0.628086689406296,NS
SLC16A3,20.5258008810377,23.272878792816467,2.747077911778767,7.558536308851993,2.411284968412967e-08,7.617751461171315,Up
SLC1A5,20.928030988165876,22.663440960432883,1.735409972267007,5.987658110638932,2.9419147892649747e-06,5.531369910496304,Up
SLC25A1,24.697504355590816,25.423902586673407,0.7263982310825909,2.5250116040519766,0.018292007259479822,1.737738634934511,NS
SLC25A11,24.704831299374526,25.217575036845293,0.5127437374707675,2.1348330915604032,0.04226866189716761,1.373981500452852,NS
SLC25A12,20.327928663760726,20.862919500226905,0.5349908364661786,0.7099111263395307,0.48370369103339694,0.31542059859599636,NS
SLC25A13,22.790564013933704,24.683873330103197,1.8933093161694927,4.185324958813449,0.00024517665007698166,3.610520893148696,Up
SLC25A20,20.502817660904647,20.95566950825925,0.4528518473546015,1.7459496909481644,0.09207121480674547,1.0358761266390484,NS
SLC25A24,25.763355685095743,26.47341592168722,0.7100602365914774,2.6642334267181687,0.01244799318227433,1.9049006582160064,NS
SLC25A3,28.09935129071833,28.878924459678803,0.7795731689604715,3.4803226548911015,0.0019175760438565202,2.717247404551118,NS
SLC25A4,27.076461418513148,26.729251611648028,-0.34720980686511993,-1.3361148036063886,0.19177220682674007,0.7172143340600919,NS
SLC25A5,28.827332354366874,29.85391163487862,1.026579280511747,3.9850359444205923,0.0004134967167534301,3.383527934482726,Up
SLC25A6,22.182098033121683,26.00382345462822,3.8217254215065353,3.9364742890428266,0.0008746011251942305,3.0581899682610785,Up
SLC26A2,24.31796277961721,22.931931133241747,-1.3860316463754643,-2.677397048539563,0.012748778597582338,1.8945314210134991,Down
SLC26A3,23.79479543400734,22.45714273198985,-1.3376527020174898,-3.41556719208844,0.002519465604270447,2.598691566253444,Down
SLC3A2,22.443661913361286,24.625366612080267,2.181704698718981,6.688837605866434,1.442633742623614e-06,5.840843914053716,Up
SLC44A1,21.843509605690706,22.04906386602904,0.20555426033833513,0.19875454107983467,0.8437965494392469,0.07376225492303874,NS
