Protein,F_statistic,P_value,FDR,Significant
HNF4A,2.8930572923343374,0.08657341819502658,0.16317889851514,False
HNMT,0.44375207499520464,0.6497807863896919,0.7338777941327461,False
HNRNPA0,9.60095095921975,0.0020668431211803393,0.015976911877913072,False
HNRNPA1,7.453464946540959,0.005654519394155921,0.026372017383182313,False
HNRNPA1L3,14.501088954552838,0.000312340389945773,0.006645413629893876,True
HNRNPA2B1,10.359341861405017,0.0014926864696490115,0.01350065414249349,False
HNRNPA3,10.238963514704375,0.0015703543862989968,0.013914762400283042,False
HNRNPAB,0.0808288149911596,0.9227505268528564,0.9429509485387034,False
HNRNPC,8.505435520592586,0.003395887187474734,0.01976584735904237,False
HNRNPCL2,5.804608866309366,0.013581371814425047,0.04508288949988938,False
HNRNPD,3.3715142908271893,0.061770933891295746,0.12813023798807308,False
HNRNPDL,9.956288202588818,0.0017714145162690685,0.014390327379436723,False
HNRNPF,10.19697207095916,0.0015985169077729405,0.013956437158139316,False
HNRNPH1,7.968758727509561,0.004385746072282579,0.022765226443231666,False
HNRNPH3,1.2724464716208446,0.30871236427096044,0.41495994090332466,False
HNRNPK,10.385828432743574,0.0014761874930959203,0.01350065414249349,False
HNRNPL,5.35415700157326,0.017584599223436057,0.05352042869912282,False
HNRNPM,8.324291441180987,0.0036985153789922,0.02072645497799223,False
HNRNPR,8.759383516966961,0.0030177198002767944,0.01844969892924001,False
HNRNPU,9.187790299326727,0.0024829514202001027,0.01701180302274215,False
HNRNPUL1,16.213227817518593,0.0001780448527906261,0.005312391902341154,True
HNRNPUL2,4.235625186824188,0.03480669169622752,0.0843363874722042,False
HP,11.183420665771186,0.0010642325394245233,0.012112618179228818,False
HP1BP3,1.322234976958002,0.295882867484308,0.4032961110188798,False
HPCAL1,0.012139643353716275,0.987943440615844,0.9900031310766132,False
HPRT1,2.353766154257348,0.1291048593188614,0.21804334471078562,False
HPX,20.326601598897366,5.364239988118529e-05,0.0032128699571132304,True
HRG,2.9860080579660497,0.08098098820053412,0.15595821348275277,False
HSD17B10,3.9507168084817796,0.041851826817550966,0.09658779040331494,False
HSD17B11,1.5783075260980337,0.23873868541010054,0.3470020970762294,False
HSD17B12,0.5647489107683463,0.5801337026766576,0.6760660885652859,False
HSD17B4,7.294800669578772,0.006125493569829814,0.027423552374749107,False
HSDL2,0.12837968521373977,0.8804753836586501,0.9140811287583691,False
HSF1,12.45319641008355,0.0006499289669750953,0.009836362724060325,True
HSP90AA1,12.667008305873068,0.0005999960575467295,0.009439374595488688,True
HSP90AB1,16.27252161017446,0.00017474111154595844,0.005312391902341154,True
HSP90AB2P,9.441274605732607,0.0022175011799967625,0.016235126300486867,False
HSP90B1,7.014101290078635,0.007071855100397238,0.0301294670905217,False
HSPA1A,1.3711957954038767,0.2838528380056837,0.3914365679658626,False
HSPA2,8.065332933366673,0.004185731508084597,0.022002174562496445,False
HSPA4,1.39910395674382,0.27724413953150445,0.385742077484871,False
HSPA4L,5.013557919667495,0.021508167728949628,0.06105368069437544,False
HSPA5,6.122504887149291,0.011377115906747667,0.04028988845934553,False
HSPA6,0.8954674647821909,0.4291635740930843,0.5395962569375033,False
HSPA8,2.0526310823909824,0.16294345908777164,0.26001120543005846,False
HSPA9,4.713515993229124,0.02580204834577129,0.06829594313323822,False
HSPB1,10.838119916342993,0.001224047899373924,0.012688219705489119,False
HSPB6,32.85017330184024,3.3046003379219186e-06,0.0007406765922533148,True
HSPD1,9.09283860027627,0.002591518476103896,0.017391214063107965,False
HSPE1,8.17403723519295,0.003972856873224235,0.0214899812464478,False
HSPG2,13.240517738936315,0.00048619728054106467,0.008689317797829908,True
HSPH1,3.149006340763813,0.07213421886566983,0.14336996881308398,False
HTATIP2,3.388482077410876,0.06105263616553666,0.1268758969244734,False
HUWE1,6.175989692948903,0.011047620298527494,0.03971535703693449,False
HYOU1,4.5485493478874135,0.02857253476111513,0.07345344379324649,False
HYPK,5.996697454960256,0.012197002976749964,0.042114535780617336,False
IARS1,0.7273427479719369,0.499473612062931,0.6054329221172147,False
IARS2,3.130045606316314,0.07310482082303234,0.14457587928573318,False
IDE,0.09336181886980999,0.9113889709721695,0.93482229621296,False
IDH1,1.1830001629517766,0.33337720918591107,0.44009254949637505,False
IDH2,0.5608855646010303,0.5822222617595214,0.6779525646461985,False
IDH3A,2.050350717349967,0.16323548425645318,0.2602912718264928,False
IDH3B,2.030460161151848,0.16580798762063453,0.2630788667219443,False
IDI1,10.523446743736294,0.0013937202763257379,0.013308043957206401,False
IFI16,0.4332353338620055,0.6562690815367116,0.7397099536594418,False
IFI30,0.675433173956908,0.5237555984808481,0.625724227954873,False
IFIT5,5.60351745275525,0.015224754184978893,0.04859760937439396,False
IGBP1,2.4574136313915576,0.11936042722059627,0.20734929580934064,False
IGHA1,1.7871054662671093,0.20130596509722562,0.3038044007476645,False
IGHA2,2.217949467118876,0.1432681662721567,0.23568562846244331,False
IGHG1,2.443467562606186,0.12062171958187988,0.20872883156151792,False
IGHG2,6.677749891111402,0.008431496130668311,0.033662224286779716,False
IGHG3,0.560632381174147,0.5823594322095142,0.6779525646461985,False
IGHM,2.24634636917191,0.1401669633582571,0.23263967023948465,False
IGHV1OR15-1,0.03839700850225877,0.9624250807792226,0.9694615658325638,False
IGHV3-21,2.450971991041055,0.11994114672180889,0.2079224794414875,False
IGHV3-49,1.628647195523383,0.2290399840160145,0.3353136096737522,False
IGHV3-74,2.8325128380131273,0.09045130221994346,0.1693782138804306,False
IGHV3OR16-9,2.2263003266322055,0.14234817686167103,0.23469064731289527,False
IGHV5-51,2.176141672386571,0.14797652939796718,0.24147521305701877,False
IGKC,3.2623360633950544,0.06662854919601446,0.13556300446620792,False
IGKV1-5,1.2054295428512112,0.3269888459786158,0.43393769999692183,False
IGKV2-28,3.571121235253841,0.05389176733464872,0.11677420778429218,False
IGKV2-30,1.8731017556494087,0.18786007304046548,0.28843945235216484,False
IGKV3D-11,0.5848809083885,0.5693866396948095,0.6670213702560065,False
IGKV3D-20,7.086523656770305,0.006812726749100203,0.029381528103262264,False
IGKV4-1,2.290072505907575,0.13553927670413737,0.2263039941382981,False
IGLC7,2.6515243807269657,0.10327019818386315,0.18594784179007828,False
IGLL5,1.0404951860527205,0.3774301448415357,0.48766856192943364,False
IGLV1-47,4.573151074565611,0.028138744242380574,0.07258886216798868,False
IGLV3-9,2.3622626630062933,0.12827299591230718,0.21742175483163445,False
IGLV4-69,1.4381862023063487,0.2682804291592584,0.37755354853656287,False
IK,6.713527229237244,0.00827361831302914,0.03342362262442514,False
IL16,1.4858592447253298,0.2577878172815253,0.36681400242479456,False
IL18,3.802871082272175,0.0461363963243683,0.10421507521601495,False
ILF2,12.115474060598231,0.000738700532017377,0.010424100871563058,False
ILF3,13.640211712342467,0.00042134658963268134,0.007947536699527809,True
ILK,18.699191740804107,8.429470121578685e-05,0.003843150255429956,True
IMMT,2.469704886696189,0.1182611787174654,0.205759714372911,False
IMPDH2,11.714103311805196,0.0008625982327503739,0.011146271888740645,False
INF2,0.7245150648346608,0.5007629880079052,0.6060154470258181,False
INTS14,1.2864581837175098,0.3050391813723959,0.4120611071158281,False
INTS4,4.569410940553823,0.028204208535503802,0.07267381991731892,False
INTS5,4.777292050078833,0.024813616954850768,0.06662694744848151,False
IPO5,1.7513621985765933,0.20721292599849117,0.31047194948399015,False
IPO7,2.4182168177380103,0.1229440429610629,0.21146558596433365,False
IQGAP1,2.455399717213639,0.1195416402522865,0.20750273840218186,False
IQGAP2,0.21001983601932908,0.8129114861699497,0.8627288646573242,False
IRAG1,1.709220816009971,0.21443112635139122,0.3191466597395123,False
IREB2,8.9024217561068,0.00282585364216929,0.018037020104589126,False
ISG15,11.590856115837953,0.000905250851529461,0.011490513649527363,False
ISOC1,0.10386525637789622,0.9019892935035845,0.9303065935766426,False
IST1,3.01249278675998,0.07946330871251228,0.15369786291233978,False
ITGA1,5.526010114218625,0.015917464595247052,0.050131070892522965,False
ITGA5,4.082767823044107,0.03840314950764284,0.09030803789481485,False
ITGA6,1.442978020449422,0.26720418150260705,0.37661460030083543,False
ITGA7,12.770173764458736,0.0005774686845975336,0.009346336127181554,True
ITGAM,3.085144082522677,0.0754629313126266,0.14780388530691813,False
ITGAV,0.1445445294299026,0.8666073431820494,0.9034068150577219,False
ITGB1,9.47878983779322,0.002181016645885555,0.01609653948959205,False
ITGB2,4.094204116611694,0.03811995781261794,0.09012673617190059,False
ITGB3,1.2678299683798544,0.30993354393988437,0.4159612918618889,False
ITGB4,1.8806581095106616,0.18672809511649335,0.2870960526429774,False
ITIH1,3.8795483081860938,0.043855270772305846,0.10007423381545583,False
ITIH2,2.8080570829455205,0.09207322682881898,0.17140269651844223,False
ITIH4,2.920036514261159,0.08490634952474936,0.16129318438630108,False
ITIH5,11.372946725953465,0.0009866465928708372,0.011960860167519604,False
ITLN1,1.2742343167379522,0.3082409004578441,0.41482540459206246,False
ITPR3,2.9002322581839333,0.0861264783998127,0.1625055344131601,False
ITPRID2,14.209855832636553,0.00034516951269181103,0.007074391663793631,True
ITSN1,0.18015658332879697,0.8369199422801411,0.8799570292426494,False
IVD,2.1575336657880193,0.1501283615175656,0.24391764336744837,False
JCHAIN,2.915436655431031,0.08518798792265705,0.1614164249526852,False
JPT1,8.572985507117501,0.00329029870955476,0.01947228047337023,False
JUP,3.2097438774523597,0.06912200691291384,0.13940319094649972,False
KANK2,1.6293562894831155,0.22890659300359184,0.3353136096737522,False
KARS1,13.278717242280118,0.0004795335265979395,0.008639337890482233,True
